feature_set,n_folds,horizon_days_total,rev_mae,rev_rmse,rev_r2,cogs_mae,cogs_rmse,cogs_r2,selected
core_long,3,1644,988549.2680320184,1409007.6735671312,0.3425369035689526,869556.209671295,1234530.81265649,0.326901755318172,True
all_valid,3,1644,1030387.4087875446,1477161.41593395,0.2773956452449021,900221.9804077666,1286070.5203924808,0.2695270189285909,False
core_long_plus_short,3,1644,1048803.9195147555,1519071.4974220444,0.2358104504844154,915298.958774796,1318404.58169474,0.2323345458334527,False
core_long_plus_biz730_1095,3,1644,1072753.4985767151,1529277.5074497515,0.2255074115105464,933454.6842065848,1321827.6363216464,0.2283430971847899,False
core_long_plus_biz730,3,1644,1095306.257044588,1562502.300508947,0.1914888844684453,953572.3024747602,1353208.1358234982,0.1912695589488762,False
