fold_year,model,feature,mean_abs_shap,rank
2020,revenue_recursive,rev_roll_mean_3,0.011207927949726582,13
2020,revenue_recursive,dow_cos,0.008522187359631062,14
2020,revenue_recursive,rev_roll_std_3,0.006952778901904821,15
2020,revenue_recursive,hist_dow_aov_log1p,0.006816455628722906,16
2020,revenue_recursive,days_from_mend,0.0065611740574240685,17
2020,revenue_recursive,day_of_week,0.006048714742064476,18
2020,revenue_recursive,rev_roll_mean_7,0.006028410047292709,19
2020,revenue_recursive,rev_lag_2,0.005829493049532175,20
2020,revenue_regime,year,0.06704991310834885,1
2020,revenue_regime,recent_user_growth,0.05738320201635361,2
2020,revenue_regime,day_of_year,0.02005079761147499,3
2020,revenue_regime,is_post_2019,0.015468478202819824,4
2020,revenue_regime,day_of_week,0.01265939325094223,5
2020,revenue_regime,hist_month_aov_log1p,0.010221240110695362,6
2020,revenue_regime,hist_dow_revenue_log1p,0.009828065522015095,7
2020,revenue_regime,is_odd_year_august,0.00885593332350254,8
2020,revenue_regime,event_urban_blowout_2013,0.008255649358034134,9
2020,revenue_regime,hist_dow_aov_log1p,0.008187132887542248,10
2020,revenue_regime,commercial_quality_score,0.007580047007650137,11
2020,revenue_regime,is_even_year_august,0.007551793474704027,12
2020,revenue_regime,dow_cos,0.007357893977314234,13
2020,revenue_regime,dow_sin,0.007069393061101437,14
2020,revenue_regime,promo_stackable_prior,0.006327343638986349,15
2020,revenue_regime,days_to_month_end,0.005230072885751724,16
2020,revenue_regime,day_of_month,0.004204174038022757,17
2020,revenue_regime,hist_month_revenue_log1p,0.004040634725242853,18
2020,revenue_regime,doy_cos,0.0036179660819470882,19
2020,revenue_regime,event_inventory_interact,0.003203669562935829,20
2020,ratio_recursive,ratio_lag_1,0.044564396142959595,1
2020,ratio_recursive,ratio_ema_3,0.01571589894592762,2
2020,ratio_recursive,promo_stackable_prior,0.009613512083888054,3
2020,ratio_recursive,doy_sin,0.002254753839224577,4
2020,ratio_recursive,ratio_ema_7,0.0020572631619870663,5
2020,ratio_recursive,day_of_year,0.0019290713826194406,6
2020,ratio_recursive,year,0.0017815601313486695,7
2020,ratio_recursive,hist_month_aov_log1p,0.0016838551964610815,8
2020,ratio_recursive,ratio_lag_2,0.0015683172969147563,9
2020,ratio_recursive,doy_cos,0.001485091052018106,10
2020,ratio_recursive,promo_active_prior,0.0013461906928569078,11
2020,ratio_recursive,recent_user_growth,0.0011911995243281126,12
2020,ratio_recursive,ratio_lag_14,0.0011235031997784972,13
2020,ratio_recursive,promo_discount_prior,0.0010866759112104774,14
2020,ratio_recursive,ratio_lag_28,0.001066693919710815,15
2020,ratio_recursive,ratio_roll_mean_3,0.0010122854728251696,16
2020,ratio_recursive,ratio_lag_3,0.0008720556506887078,17
2020,ratio_recursive,ratio_lag_7,0.000862128334119916,18
2020,ratio_recursive,day_of_month,0.0008067332673817873,19
2020,ratio_recursive,ratio_roll_mean_14,0.0008048786548897624,20
2020,ratio_regime,event_traffic_interact,0.011423117481172085,1
2020,ratio_regime,days_to_month_end,0.007899935357272625,2
2020,ratio_regime,is_payday,0.007602578029036522,3
2020,ratio_regime,hist_month_orders_log1p,0.007022549863904715,4
2020,ratio_regime,day_of_month,0.004601040855050087,5
2020,ratio_regime,doy_cos,0.004284920636564493,6
2020,ratio_regime,event_any,0.003992276266217232,7
2020,ratio_regime,day_of_year,0.0038701845332980156,8
2020,ratio_regime,hist_month_revenue_log1p,0.0037930780090391636,9
2020,ratio_regime,doy_sin,0.0029407369438558817,10
2020,ratio_regime,cancel_rate_month_prior,0.002145267091691494,11
2020,ratio_regime,conversion_stability_score,0.0020852454472333193,12
2020,ratio_regime,is_even_year_august,0.0015705086989328265,13
2020,ratio_regime,inventory_turnover_month_prior,0.0014678938314318657,14
2020,ratio_regime,days_from_mend,0.0014022699324414134,15
2020,ratio_regime,refund_rate_month_prior,0.0012531616957858205,16
2020,ratio_regime,recent_user_growth,0.0012326814467087388,17
2020,ratio_regime,promo_payday_interact,0.0012227976694703102,18
2020,ratio_regime,year,0.0011678251903504133,19
2020,ratio_regime,delivery_days_month_prior,0.0009404643205925822,20
2021,revenue_recursive,rev_lag_1,0.30854639410972595,1
2021,revenue_recursive,rev_lag_7,0.05370913818478584,2
2021,revenue_recursive,rev_ema_3,0.04876414313912392,3
2021,revenue_recursive,day_of_month,0.04258039593696594,4
2021,revenue_recursive,days_to_month_end,0.04043947160243988,5
2021,revenue_recursive,rev_lag_14,0.03523103520274162,6
