name,source_path,fixed_path,violations_cogs_ge_revenue,total_cogs_adjustment_abs,rev_mean,cogs_mean,margin_mean,rev_std,cogs_std
blend_A,weighted blend,/home/lducc/code/datathon/datathon-2026-round-1/dataset/cross_repo_candidates/submission_blend_A.csv,0,0.0,3973352.617898546,3445803.198495363,0.8719747165462282,1795184.906464592,1536333.0146532578
blend_B,weighted blend,/home/lducc/code/datathon/datathon-2026-round-1/dataset/cross_repo_candidates/submission_blend_B.csv,0,0.0,3825037.2978193513,3339775.0191921326,0.876046046098316,1726500.5819066458,1502534.0752983564
datathon2026_submission,/home/lducc/code/datathon/DATATHON2026/Submission/submission.csv,/home/lducc/code/datathon/datathon-2026-round-1/dataset/cross_repo_candidates/datathon2026_submission_fixed.csv,102,17168294.268447377,4005141.0685280333,3683833.405353329,0.918336530842774,2057051.4025089988,1923940.639071943
ours_current,/home/lducc/code/datathon/datathon-2026-round-1/dataset/submission.csv,/home/lducc/code/datathon/datathon-2026-round-1/dataset/cross_repo_candidates/ours_current_fixed.csv,0,0.0,3148436.598649635,2792100.0879927003,0.8895940382950166,1450065.600189778,1286147.6859747658
r1_ensemble,/home/lducc/code/datathon/DATATHON-2026-r1/submissions/submission_03_2_ensemble_forecast.csv,/home/lducc/code/datathon/datathon-2026-round-1/dataset/cross_repo_candidates/r1_ensemble_fixed.csv,71,13003960.366500005,4438774.623959853,3755173.2657689783,0.8550921261221391,1997683.2125982854,1646687.3612545552
r1_lgb,/home/lducc/code/datathon/DATATHON-2026-r1/submissions/submission_03_sales_forecast.csv,/home/lducc/code/datathon/datathon-2026-round-1/dataset/cross_repo_candidates/r1_lgb_fixed.csv,102,27678097.92400001,4221727.405948905,3625386.62307573,0.8723095259444659,1992438.1561610454,1602348.5944201334
r1_opt_baseline,/home/lducc/code/datathon/DATATHON-2026-r1/submissions/submission_03_1_optimized_baseline.csv,/home/lducc/code/datathon/datathon-2026-round-1/dataset/cross_repo_candidates/r1_opt_baseline_fixed.csv,54,10741542.844000004,3893649.0298175183,3388658.3318071165,0.8722938649603534,1710190.085543499,1575577.751446223
r1_residual_ensemble,/home/lducc/code/datathon/DATATHON-2026-r1/submissions/submission_03_1_residual_ensemble.csv,/home/lducc/code/datathon/datathon-2026-round-1/dataset/cross_repo_candidates/r1_residual_ensemble_fixed.csv,159,71208803.2944,3210815.837481752,2794968.006752007,0.8898475954280316,1686643.4263546253,1417198.7966662205
