,datathon2026_submission_fixed_rev,ours_current_fixed_rev,r1_ensemble_fixed_rev,r1_lgb_fixed_rev,r1_opt_baseline_fixed_rev,r1_residual_ensemble_fixed_rev,submission_blend_A_rev,submission_blend_B_rev
datathon2026_submission_fixed_rev,1.0,0.9297492684402516,0.869009872812143,0.8638569115511122,0.8879984948297585,0.9261877763788594,0.9260256771984046,0.9422619667337268
ours_current_fixed_rev,0.9297492684402516,1.0,0.8960628846179964,0.8881770812115994,0.8654052995020624,0.954076025505252,0.9495703898518351,0.9669085453317714
r1_ensemble_fixed_rev,0.869009872812143,0.8960628846179964,1.0,0.9945328157400354,0.8363497838163535,0.8764732352643608,0.9876790567067242,0.9756245861293501
r1_lgb_fixed_rev,0.8638569115511122,0.8881770812115994,0.9945328157400354,1.0,0.8211575205453076,0.8647493759939071,0.9844530624418013,0.9711030032239234
r1_opt_baseline_fixed_rev,0.8879984948297585,0.8654052995020624,0.8363497838163535,0.8211575205453076,1.0,0.8942281922810424,0.8716144494447995,0.8819000663800093
r1_residual_ensemble_fixed_rev,0.9261877763788594,0.954076025505252,0.8764732352643608,0.8647493759939071,0.8942281922810424,1.0,0.9246057705979684,0.9399882252481235
submission_blend_A_rev,0.9260256771984046,0.9495703898518351,0.9876790567067242,0.9844530624418013,0.8716144494447995,0.9246057705979684,1.0,0.997768759332479
submission_blend_B_rev,0.9422619667337268,0.9669085453317714,0.9756245861293501,0.9711030032239234,0.8819000663800093,0.9399882252481235,0.997768759332479,1.0
