,datathon2026_submission_fixed_cogs,ours_current_fixed_cogs,r1_ensemble_fixed_cogs,r1_lgb_fixed_cogs,r1_opt_baseline_fixed_cogs,r1_residual_ensemble_fixed_cogs,submission_blend_A_cogs,submission_blend_B_cogs
datathon2026_submission_fixed_cogs,1.0,0.9370233649796286,0.9171776212585927,0.9019543858266145,0.8746512986580955,0.9392013892044175,0.9495881380979394,0.9587333379499389
ours_current_fixed_cogs,0.9370233649796286,1.0,0.9415467214236837,0.9231434828254017,0.888962813171488,0.9587450641326056,0.9695931595483677,0.9796019095634317
r1_ensemble_fixed_cogs,0.9171776212585927,0.9415467214236837,1.0,0.9941817167362144,0.8719614574761262,0.9256789215560002,0.9932456778919656,0.9863580691955001
r1_lgb_fixed_cogs,0.9019543858266145,0.9231434828254017,0.9941817167362144,1.0,0.8585421142328613,0.9042344535597806,0.9858555791642175,0.9761507574936676
r1_opt_baseline_fixed_cogs,0.8746512986580955,0.888962813171488,0.8719614574761262,0.8585421142328613,1.0,0.9170913947802763,0.8911720874854132,0.896391317147218
r1_residual_ensemble_fixed_cogs,0.9392013892044175,0.9587450641326056,0.9256789215560002,0.9042344535597806,0.9170913947802763,1.0,0.9493942757148643,0.9576529645187783
submission_blend_A_cogs,0.9495881380979394,0.9695931595483677,0.9932456778919656,0.9858555791642175,0.8911720874854132,0.9493942757148643,1.0,0.9986334965705526
submission_blend_B_cogs,0.9587333379499389,0.9796019095634317,0.9863580691955001,0.9761507574936676,0.896391317147218,0.9576529645187783,0.9986334965705526,1.0
