feature_set,n_folds,horizon_days_total,rev_mae,rev_rmse,rev_r2,cogs_mae,cogs_rmse,cogs_r2,selected
core_long,3,1644,988549.2680320184,1409007.6735671312,0.3425369035689526,869556.209671295,1234530.81265649,0.326901755318172,True
all_valid,3,1644,1030387.4087875446,1477161.4159339499,0.2773956452449021,900221.9804077666,1286070.5203924808,0.2695270189285909,False
core_long_plus_short,3,1644,1048803.9195147555,1519071.4974220444,0.2358104504844154,915298.958774796,1318404.5816947399,0.2323345458334527,False
core_long_plus_biz730_1095,3,1644,1072753.4985767151,1529277.5074497517,0.22550741151054643,933454.6842065847,1321827.6363216464,0.22834309718478996,False
core_long_plus_biz730,3,1644,1095306.257044588,1562502.3005089473,0.19148888446844536,953572.3024747602,1353208.1358234982,0.1912695589488762,False
